QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,QFCD3MCX,QFCD_MCX,FONPURCH,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,FONCARDX,FONC_RDX
20171,03393544,84,0,1,,A,,,A,,A,,A
20171,03393554,71,0,1,,A,,,A,,A,,A
20171,03393564,25,0,1,,A,,,A,,A,,A
20171,03393574,19,0,1,,A,,,A,,A,,A
20171,03393594,34,0,1,,A,,,A,,A,,A
20171,03393634,49,0,1,,A,,,A,,A,,A
20171,03393644,33,0,1,,A,,,A,,A,,A
20171,03393654,31,0,1,,A,,,A,,A,,A
20171,03393674,58,0,1,,A,,,A,,A,,A
20171,03393684,11,0,1,,A,,,A,,A,,A
20171,03393704,76,0,1,,A,,,A,,A,,A
20171,03393714,41,0,1,,A,,,A,,A,,A
20171,03393734,24,0,1,,A,,,A,,A,,A
20171,03393744,26,0,1,,A,,,A,,A,,A
20171,03393754,34,0,1,,A,,,A,,A,,A
20171,03393764,14,0,1,,A,,,A,,A,,A
20171,03393784,16,0,1,,A,,,A,,A,,A
20171,03393814,96,0,1,,A,,,A,,A,,A
20171,03393824,16,0,1,,A,,,A,,A,,A
20171,03393834,19,0,1,,A,,,A,,A,,A
20171,03393864,34,0,1,,A,,,A,,A,,A
20171,03393874,48,0,1,,A,,,A,,A,,A
20171,03393884,17,0,1,,A,,,A,,A,,A
20171,03393894,52,0,1,,A,,,A,,A,,A
20171,03393944,49,0,1,,A,,,A,,A,,A
20171,03393954,36,0,1,,A,,,A,,A,,A
20171,03393964,7,0,1,,A,,,A,,A,,A
20171,03393974,15,0,1,,A,,,A,,A,,A
20171,03393994,41,0,1,,A,,,A,,A,,A
20171,03394004,32,0,1,,A,,,A,,A,,A
20171,03394034,45,0,1,,A,,,A,,A,,A
20171,03394114,53,0,1,,A,,,A,,A,,A
20171,03394154,19,0,1,,A,,,A,,A,,A
20171,03394174,12,0,1,40,D,,,A,,A,,A
20171,03394184,26,0,1,,A,,,A,,A,,A
20171,03394204,12,0,1,,A,,,A,,A,,A
20171,03394224,21,0,1,,A,,,A,,A,,A
