QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_,MISPURCH
20181,03650944,19,0,1,390,D,12,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650944,20,0,1,330,D,12,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650944,21,0,1,410,D,12,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650944,22,0,2,140,D,11,D,1,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650954,15,0,1,390,D,01,D,1,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03650954,16,0,1,340,D,11,D,1,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651004,17,0,1,170,D,13,D,1,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651004,18,0,2,330,D,11,D,1,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651044,12,0,1,240,D,13,D,1,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651084,16,0,1,170,D,12,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651084,17,0,1,330,D,12,D,2,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651134,12,0,1,140,D,01,D,1,D,58,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651134,13,0,1,390,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651194,11,0,1,140,D,13,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651194,12,0,1,170,D,13,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651194,13,0,1,180,D,13,D,1,D,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651194,14,0,1,265,D,13,D,1,D,,H,250,D,240,D,,A,,A,,A,,A,,A,,A,,A,
20181,03651194,14,1,1,250,D,13,D,1,D,28,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651194,14,2,1,240,D,13,D,1,D,22,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651224,18,0,1,170,D,12,D,1,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651224,19,0,1,140,D,11,D,1,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651294,13,0,1,140,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651334,9,0,1,100,D,13,D,2,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651424,22,0,1,170,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651424,23,0,1,370,D,13,D,1,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
