QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20173,03696274,22,0,1,05,D,34,D,,A,34,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696274,23,0,1,05,D,,C,,A,146,F,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696274,24,0,1,05,D,387,D,,A,387,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696274,25,0,1,05,D,11,D,,A,11,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696331,26,0,1,06,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696371,36,0,1,04,D,38,D,,A,38,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696411,20,0,1,04,D,500,D,,A,500,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696411,21,0,1,05,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696411,22,0,1,05,D,35,D,,A,35,D,150,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696431,68,0,1,06,D,500,D,,A,500,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696431,69,0,1,04,D,1400,D,,A,1400,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696431,70,0,1,06,D,100,D,,A,100,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696561,23,0,1,06,D,,C,,A,880,F,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696671,30,0,1,04,D,35,D,,A,35,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696781,15,0,1,06,D,220,D,,A,220,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696811,30,0,1,06,D,65,D,,A,65,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696851,24,0,1,05,D,25,D,,A,25,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696871,38,0,1,04,D,20,D,,A,20,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03696871,39,0,1,05,D,20,D,,A,20,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
