QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20171,03393454,3,0,1,170,D,12,D,1100,D
20171,03393454,4,0,1,160,D,13,D,208,D
20171,03393454,5,0,2,170,D,10,D,210,D
20171,03393494,4,0,1,150,D,10,D,200,D
20171,03393494,5,0,1,150,D,13,D,10,D
20171,03393504,5,0,1,160,D,10,D,800,D
20171,03393534,3,0,1,150,D,13,D,200,D
20171,03393534,4,0,1,140,D,10,D,50,D
20171,03393534,5,0,1,130,D,10,D,200,D
20171,03393544,40,0,1,150,D,13,D,225,F
20171,03393544,41,0,1,160,D,13,D,25,D
20171,03393544,42,0,1,160,D,11,D,25,D
20171,03393544,43,0,1,160,D,11,D,10,D
20171,03393544,44,0,1,160,D,10,D,10,D
20171,03393544,45,0,1,160,D,10,D,20,D
20171,03393564,1,0,1,170,D,12,D,400,D
20171,03393574,3,0,1,160,D,13,D,25,D
20171,03393634,6,0,1,150,D,13,D,80,D
20171,03393644,2,0,1,170,D,13,D,100,D
20171,03393674,9,0,1,150,D,13,D,3000,D
20171,03393704,2,0,1,100,D,13,D,500,D
