QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20171,03388624,30,0,1,620,D,1,D,13,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388674,48,0,1,420,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388674,49,0,1,420,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388674,50,0,1,420,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388674,51,0,1,620,D,1,D,10,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388734,46,0,1,200,D,1,D,11,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388734,47,0,1,200,D,1,D,12,D,4039,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388734,48,0,1,420,D,1,D,10,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388734,49,0,1,510,D,1,D,10,D,19,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388734,50,0,1,510,D,1,D,12,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388734,51,0,1,620,D,1,D,10,D,615,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388734,52,0,1,620,D,1,D,11,D,241,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388734,53,0,1,620,D,1,D,12,D,486,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388734,54,0,2,620,D,1,D,10,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388794,32,0,1,130,D,1,D,11,D,,H,120,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388794,32,1,1,120,D,1,D,11,D,138,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388794,32,2,1,110,D,1,D,11,D,47,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388794,33,0,1,330,D,1,D,12,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388794,34,0,1,420,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388834,21,0,1,110,D,1,D,11,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388834,22,0,1,110,D,1,D,11,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388834,23,0,1,200,D,1,D,11,D,197,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388834,24,0,1,420,D,1,D,11,D,324,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388834,25,0,1,620,D,1,D,13,D,143,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388894,27,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
