QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20174,03577134,58,0,1,420,D,09,D,140,D,,A,,A,,A,,A
20174,03577134,59,0,2,400,D,07,D,20,D,,A,,A,,A,,A
20174,03577254,29,0,1,420,D,09,D,135,D,,A,,A,,A,,A
20174,03587914,18,0,1,410,D,08,D,37,D,,A,,A,,A,,A
20174,03587924,29,0,1,420,D,10,D,35,D,,A,,A,,A,,A
20174,03587924,30,0,1,405,D,10,D,42,D,,A,,A,,A,,A
20174,03587934,36,0,1,400,D,09,D,25,D,,A,,A,,A,,A
20174,03587944,26,0,1,410,D,10,D,35,D,,A,,A,,A,,A
20174,03588044,44,0,1,420,D,08,D,350,D,,A,,A,,A,,A
20174,03588134,64,0,1,420,D,09,D,276,D,,A,,A,,A,,A
20174,03588334,9,0,1,400,D,08,D,4,D,,A,,A,,A,,A
20174,03588414,22,0,1,430,D,08,D,,H,405,D,415,D,,A,,A
20174,03588414,22,1,1,405,D,08,D,120,E,,A,,A,,A,,A
20174,03588414,22,2,1,420,D,08,D,92,E,,A,,A,,A,,A
20174,03588434,13,0,1,410,D,10,D,30,D,,A,,A,,A,,A
20174,03588434,14,0,1,420,D,10,D,322,D,,A,,A,,A,,A
20174,03588444,68,0,1,420,D,10,D,550,D,,A,,A,,A,,A
20174,03588624,33,0,1,420,D,10,D,145,D,,A,,A,,A,,A
20174,03588694,17,0,1,420,D,09,D,54,D,,A,,A,,A,,A
20174,03588774,68,0,1,400,D,10,D,25,D,,A,,A,,A,,A
20174,03588894,38,0,1,400,D,10,D,38,F,,A,,A,,A,,A
20174,03589014,17,0,1,400,D,10,D,30,D,,A,,A,,A,,A
20174,03589114,15,0,1,405,D,08,D,220,D,,A,,A,,A,,A
20174,03589144,51,0,1,420,D,09,D,184,D,,A,,A,,A,,A
20174,03589144,52,0,1,410,D,09,D,28,D,,A,,A,,A,,A
20174,03589154,18,0,1,420,D,10,D,120,D,,A,,A,,A,,A
20174,03589194,26,0,1,420,D,09,D,50,D,,A,,A,,A,,A
20174,03589254,57,0,1,420,D,10,D,30,D,,A,,A,,A,,A
20174,03589314,66,0,1,405,D,08,D,120,D,,A,,A,,A,,A
20174,03589314,67,0,1,400,D,08,D,35,D,,A,,A,,A,,A
20174,03589314,68,0,1,400,D,08,D,250,D,,A,,A,,A,,A
20174,03589314,69,0,2,400,D,08,D,47,D,,A,,A,,A,,A
20174,03589314,70,0,2,420,D,08,D,151,D,,A,,A,,A,,A
20174,03589344,28,0,1,410,D,10,D,30,D,,A,,A,,A,,A
20174,03589344,29,0,1,420,D,10,D,320,D,,A,,A,,A,,A
20174,03589344,30,0,1,420,D,10,D,320,D,,A,,A,,A,,A
20174,03589384,81,0,1,420,D,10,D,120,D,,A,,A,,A,,A
20174,03589444,60,0,1,405,D,08,D,600,D,,A,,A,,A,,A
20174,03589454,28,0,1,430,D,09,D,,H,415,D,400,D,,A,,A
20174,03589454,28,1,1,420,D,09,D,583,E,,A,,A,,A,,A
20174,03589454,28,2,1,400,D,09,D,317,E,,A,,A,,A,,A
20174,03589684,59,0,1,420,D,10,D,78,D,,A,,A,,A,,A
20174,03589704,67,0,1,400,D,08,D,40,D,,A,,A,,A,,A
20174,03589704,68,0,1,420,D,09,D,52,D,,A,,A,,A,,A
20174,03589774,36,0,1,420,D,08,D,205,D,,A,,A,,A,,A
20174,03589814,48,0,1,405,D,09,D,145,D,,A,,A,,A,,A
20174,03589884,76,0,1,410,D,09,D,322,D,,A,,A,,A,,A
20174,03589884,77,0,1,420,D,09,D,1,D,,A,,A,,A,,A
20174,03589884,78,0,1,405,D,09,D,1,D,,A,,A,,A,,A
20174,03589904,32,0,1,430,D,09,D,,H,410,D,415,D,,A,,A
20174,03589904,32,1,1,410,D,09,D,19,E,,A,,A,,A,,A
20174,03589904,32,2,1,420,D,09,D,61,E,,A,,A,,A,,A
20174,03590054,58,0,1,420,D,09,D,81,D,,A,,A,,A,,A
20174,03590054,59,0,1,410,D,09,D,15,D,,A,,A,,A,,A
20174,03590054,60,0,2,420,D,08,D,53,D,,A,,A,,A,,A
20174,03590194,69,0,1,400,D,09,D,35,D,,A,,A,,A,,A
20174,03590374,33,0,1,420,D,10,D,101,D,,A,,A,,A,,A
20174,03590394,55,0,1,420,D,10,D,72,D,,A,,A,,A,,A
20174,03590394,56,0,2,410,D,08,D,175,D,,A,,A,,A,,A
20174,03590444,29,0,1,420,D,09,D,160,F,,A,,A,,A,,A
