"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20152","02972423",21,0,"1",.,"A"
"20152","02972433",26,0,"1",.,"A"
"20152","02972463",27,0,"1",.,"A"
"20152","02972555",12,0,"1",.,"A"
"20152","02972603",21,0,"1",.,"A"
"20152","02972613",14,0,"1",.,"A"
"20152","02972663",15,0,"1",.,"A"
"20152","02972683",17,0,"1",.,"A"
"20152","02972723",30,0,"1",.,"A"
"20152","02972783",51,0,"1",.,"A"
"20152","02972793",24,0,"1",.,"A"
"20152","02972803",43,0,"1",.,"A"
"20152","02972893",50,0,"1",.,"A"
"20152","02972954",10,0,"1",.,"A"
"20152","02972983",47,0,"1",.,"A"
"20152","02973003",64,0,"1",.,"A"
"20152","02973013",29,0,"1",.,"A"
"20152","02973033",11,0,"1",.,"A"
"20152","02973063",55,0,"1",.,"A"
"20152","02973243",28,0,"1",.,"A"
"20152","02973363",35,0,"1",.,"A"
