"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_","DEEDED","DEEDED_"
"20152","03170281",11,0,"1","01","D","100","D",.,"A","3","D",,"B","1980","D",.,"A",.,"A",.,"A",2500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03170291",12,0,"1","01","D","100","D",.,"A","3","D",,"B","2002","D",.,"A",.,"A",.,"A",7500,"D",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A","2","D",,"A"
"20152","03170311",18,0,"1","01","D","100","D",.,"A","3","D",,"B","2002","D",.,"A",.,"A",.,"A",9000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03170391",15,0,"1","01","D","100","D",.,"A","3","D","04","F","1976","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03170391",16,0,"1","02","D","300","D",.,"A","3","D",,"B","1998","D",.,"A",.,"A",.,"A",2100,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20152","03170421",11,0,"1","01","D","100","D",.,"A","3","D",,"B","1988","D",.,"A",.,"A",.,"A",3500,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03170451",4,0,"1","01","D","100","D",.,"A","3","D","04","F","1989","D",.,"A",.,"A",.,"A",7200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03170491",13,0,"1","01","D","400","D",.,"A","3","D",,"B","2011","D",.,"A",.,"A",.,"A",120,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20152","03170531",18,0,"1","01","D","100","D",.,"A","3","D","09","D","2014","D",.,"A",.,"A",.,"A",1800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03170541",32,0,"1","01","D","100","D",.,"A","3","D","10","D","2014","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03170551",6,0,"1","01","D","100","D",.,"A","3","D",,"B","1995","D",.,"A",.,"A",.,"A",11000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03170611",14,0,"1","01","D","100","D",.,"A","3","D",,"B","2000","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03170651",6,0,"1","01","D","100","D",.,"A","3","D","03","F","1989","D",.,"A",.,"A",.,"A",2300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
