"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20152","03070812",51,0,"1","420","D","05","D",79,"D",,"A",,"A",,"A",,"A"
"20152","03070893",59,0,"1","420","D","03","D",54,"D",,"A",,"A",,"A",,"A"
"20152","03071124",27,0,"1","420","D","05","D",185,"D",,"A",,"A",,"A",,"A"
"20152","03071173",34,0,"2","405","D","03","D",361,"D",,"A",,"A",,"A",,"A"
"20152","03071173",35,0,"2","410","D","03","D",30,"D",,"A",,"A",,"A",,"A"
"20152","03071252",37,0,"2","405","D","03","D",100,"D",,"A",,"A",,"A",,"A"
"20152","03071293",27,0,"1","420","D","03","D",113,"D",,"A",,"A",,"A",,"A"
"20152","03071364",37,0,"2","400","D","03","D",10,"D",,"A",,"A",,"A",,"A"
"20152","03071702",37,0,"1","405","D","03","D",168,"D",,"A",,"A",,"A",,"A"
"20152","03071922",85,0,"1","420","D","04","D",45,"D",,"A",,"A",,"A",,"A"
"20152","03071922",86,0,"1","420","D","04","D",60,"D",,"A",,"A",,"A",,"A"
"20152","03072213",36,0,"2","400","D","03","D",37,"D",,"A",,"A",,"A",,"A"
"20152","03072302",14,0,"1","420","D","04","D",50,"D",,"A",,"A",,"A",,"A"
"20152","03072433",33,0,"1","420","D","05","D",24,"D",,"A",,"A",,"A",,"A"
"20152","03072472",26,0,"1","400","D","05","D",60,"D",,"A",,"A",,"A",,"A"
"20152","03072472",27,0,"1","420","D","05","D",70,"D",,"A",,"A",,"A",,"A"
"20152","03073062",21,0,"1","400","D","03","D",55,"F",,"A",,"A",,"A",,"A"
"20152","03073082",48,0,"1","420","D","05","D",321,"D",,"A",,"A",,"A",,"A"
"20152","03073223",36,0,"1","410","D","05","D",50,"D",,"A",,"A",,"A",,"A"
"20152","03073223",37,0,"1","420","D","05","D",45,"D",,"A",,"A",,"A",,"A"
