"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20152","03163501",17,0,"1","105","D",0.2,"D",720,"D","2","D"
"20152","03163511",22,0,"1","105","D",.,"A",262,"D","1","D"
"20152","03163511",23,0,"1","200","D",.,"A",91,"D","1","D"
"20152","03163691",29,0,"1","105","D",.,"A",311,"D","1","D"
"20152","03164441",15,0,"1","105","D",.,"A",100,"D","2","D"
"20152","03165151",43,0,"1","200","D",.,"A",120,"D","2","D"
"20152","03165231",19,0,"1","105","D",.,"A",190,"D","2","D"
"20152","03166461",20,0,"1","105","D",.,"A",120,"D","2","D"
"20152","03166553",24,0,"1","105","D",.,"A",250,"D","1","D"
"20152","03166611",31,0,"1","105","D",.,"A",70,"D","1","D"
"20152","03166851",36,0,"1","105","D",.,"A",600,"D","1","D"
"20152","03167001",22,0,"1","105","D",.,"A",400,"D","1","D"
"20152","03167551",17,0,"1","105","D",.,"A",100,"D","1","D"
"20152","03167903",29,0,"1","105","D",.,"A",172,"D","1","D"
"20152","03168171",22,0,"1","105","D",.,"A",300,"D","2","D"
"20152","03168454",8,0,"1","105","D",.,"A",120,"D","2","D"
"20152","03169151",19,0,"1","105","D",.,"A",100,"D","2","D"
"20152","03169281",23,0,"1","105","D",.,"A",114,"D","1","D"
"20152","03169311",22,0,"1","105","D",.,"A",105,"D","1","D"
"20152","03169354",16,0,"1","105","D",.,"A",75,"D","2","D"
"20152","03169354",17,0,"1","180","D",.,"A",40,"D","2","D"
"20152","03169441",27,0,"1","105","D",.,"A",500,"D","1","D"
"20152","03169895",10,0,"1","105","D",.,"A",72,"D","2","D"
"20152","03170561",6,0,"1","105","D",.,"A",70,"D","2","D"
"20152","03171005",10,0,"1","105","D",.,"A",250,"D","1","D"
"20152","03172171",60,0,"1","200","D",.,"A",50,"D","2","D"
"20152","03172411",21,0,"1","105","D",1,"D",0,"D","1","D"
"20152","03173051",17,0,"1","105","D",.,"A",300,"D","1","D"
"20152","03173401",12,0,"1","105","D",.,"A",630,"D","2","D"
"20153","02900935",19,0,"1","105","D",.,"A",130,"D","2","D"
"20153","02901705",45,0,"1","105","D",.,"A",30,"D","2","D"
"20153","02903065",41,0,"1","105","D",.,"A",175,"D","2","D"
"20153","02903085",20,0,"1","105","D",.,"A",60,"D","1","D"
"20153","02903845",24,0,"1","105","D",.,"A",350,"D","2","D"
"20153","02904455",21,0,"1","105","D",.,"A",500,"D","2","D"
"20153","02904945",17,0,"1","200","D",.,"A",140,"D","2","D"
"20153","02905895",28,0,"1","105","D",.,"A",1000,"D","1","D"
"20153","02906175",21,0,"1","105","D",.,"A",6,"D","2","D"
"20153","02906175",22,0,"1","105","D",.,"A",17,"D","2","D"
"20153","02908395",32,0,"1","105","D",.,"A",88,"D","1","D"
"20153","02911565",25,0,"1","105","D",.,"A",321,"D","1","D"
"20153","02922475",37,0,"1","105","D",.,"A",300,"D","1","D"
"20153","02922515",40,0,"1","105","D",.,"A",20,"D","1","D"
"20153","02923225",12,0,"1","105","D",.,"A",190,"D","1","D"
"20153","02924425",36,0,"1","105","D",.,"A",300,"D","2","D"
"20153","02924995",29,0,"1","105","D",.,"A",100,"D","1","D"
"20153","02926355",18,0,"1","105","D",.,"A",160,"D","1","D"
"20153","02926875",14,0,"1","105","D",.,"A",180,"D","1","D"
"20153","02930075",38,0,"1","160","D",.,"A",185,"D","1","D"
"20153","02930075",39,0,"1","170","D",.,"A",43,"D","1","D"
"20153","02930455",21,0,"1","105","D",.,"A",200,"D","1","D"
"20153","02931485",26,0,"1","105","D",.,"A",675,"D","2","D"
"20153","02945065",47,0,"1","105","D",.,"A",2400,"D","1","D"
"20153","02945465",30,0,"1","105","D",.,"A",989,"D","1","D"
"20153","02945465",31,0,"1","105","D",.,"A",79,"D","2","D"
"20153","02946385",7,0,"1","105","D",.,"A",384,"D","2","D"
"20153","02946585",23,0,"1","105","D",.,"A",83,"D","1","D"
"20153","02947745",22,0,"1","105","D",.,"A",1400,"D","2","D"
"20153","02955125",32,0,"1","105","D",.,"A",100,"D","2","D"
"20153","02955405",22,0,"1","105","D",.,"A",556,"D","2","D"
"20153","02967294",42,0,"1","105","D",.,"A",684,"D","1","D"
"20153","02969664",59,0,"1","170","D",.,"A",75,"D","2","D"
"20153","02969904",53,0,"1","105","D",.,"A",500,"D","1","D"
"20153","02969904",54,0,"1","170","D",.,"A",160,"D","2","D"
"20153","02970154",33,0,"1","105","D",.,"A",200,"D","1","D"
"20153","02970154",34,0,"1","105","D",.,"A",500,"D","1","D"
"20153","02970154",35,0,"1","105","D",.,"A",150,"D","2","D"
"20153","02970684",21,0,"1","105","D",.,"A",290,"D","1","D"
"20153","02971195",9,0,"1","105","D",.,"A",20,"D","1","D"
